Tnumber:,,,,,,200,200,200,200,200,200,200,200,200,200,200,200,200,200,300,300,300,300,310,310,310,320,320,320,320,330,330,330,330,330,330,330,340,340,350,350,350,550,550,560,560,560,
83, 0,167,0, 1,1,-396.151,-465.856,-466.995,-467.789,-467.689,-468.595,-468.925,-467.829,-469.114,-468.567,-470.125,-469.417,0.332,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.680,PASS,1232.147,2.480,1932.410,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
83, 1,167,1, 1,1,-392.429,-461.388,-459.982,-463.601,-465.129,-463.980,-463.164,-464.295,-465.785,-465.859,-464.762,-461.931,0.034,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.581,PASS,1231.466,2.447,1912.503,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
84, 0,169,0, 1,1,-390.407,-459.812,-467.625,-462.808,-462.440,-464.120,-462.464,-463.342,-463.308,-462.934,-463.777,-462.545,0.086,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.626,PASS,1232.060,2.493,1930.118,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
84, 1,169,1, 1,1,-398.737,-478.205,-476.610,-474.560,-474.267,-474.906,-473.714,-474.733,-484.132,-476.790,-477.110,-474.908,0.041,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.577,PASS,1231.742,2.469,1940.126,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
85, 0,171,0, 1,1,-396.265,-466.547,-467.754,-469.470,-468.556,-468.165,-470.439,-471.026,-471.606,-468.862,-470.301,-468.410,0.131,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.615,PASS,1228.225,2.474,1925.817,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
85, 1,171,1, 1,1,-386.789,-457.766,-457.370,-457.977,-459.204,-457.572,-458.034,-459.100,-457.208,-459.034,-458.785,-456.920,0.216,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.673,PASS,1231.692,2.476,1920.175,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
86, 0,173,0, 1,1,-386.993,-456.579,-462.096,-456.955,-456.972,-455.457,-456.094,-457.211,-458.685,-456.509,-457.692,-458.989,0.224,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.650,PASS,1231.909,2.488,1912.578,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
86, 1,173,1, 1,1,-404.888,-478.644,-477.684,-478.025,-478.917,-478.287,-479.539,-481.604,-485.295,-481.377,-480.887,-479.452,0.186,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.606,PASS,1229.574,2.477,1921.346,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
87, 0,175,0, 1,1,-392.642,-463.948,-465.254,-466.574,-465.400,-464.502,-464.890,-465.717,-467.417,-464.684,-466.267,-463.957,0.121,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.586,PASS,1230.193,2.465,1907.945,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
87, 1,175,1, 1,1,-391.426,-460.868,-460.402,-464.779,-464.208,-463.923,-462.859,-463.990,-477.795,-465.592,-463.866,-461.426,-0.010,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.632,PASS,1228.634,2.466,1915.467,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
88, 0,177,0, 1,1,-389.772,-458.205,-460.722,-461.793,-460.905,-461.489,-461.385,-461.216,-462.603,-460.945,-462.489,-460.631,0.014,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.596,PASS,1235.005,2.485,1912.691,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
88, 1,177,1, 1,1,-402.892,-480.023,-479.494,-477.153,-478.101,-478.110,-478.118,-478.528,-483.531,-479.310,-480.633,-477.874,0.089,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.613,PASS,1233.471,2.462,1905.823,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
89, 0,179,0, 1,1,-386.731,-460.294,-461.728,-457.131,-460.114,-459.545,-461.304,-460.580,-459.829,-459.419,-460.591,-459.438,0.214,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.655,PASS,1228.514,2.422,1902.703,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
89, 1,179,1, 1,1,-393.341,-464.604,-463.850,-466.132,-466.275,-464.997,-465.867,-466.600,-466.262,-466.862,-467.312,-466.112,0.308,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.618,PASS,1237.455,2.478,1925.855,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
90, 0,181,0, 1,1,-390.956,-458.482,-459.352,-461.474,-460.347,-461.828,-462.937,-461.235,-462.832,-462.795,-463.458,-460.827,0.209,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.627,PASS,1232.498,2.497,1926.045,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
90, 1,181,1, 1,1,-403.145,-478.558,-478.033,-477.586,-476.597,-477.370,-478.023,-478.551,-479.230,-479.305,-479.573,-479.089,0.372,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.591,PASS,1224.863,2.419,1920.552,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
91, 0,183,0, 1,1,-395.783,-465.173,-466.222,-467.289,-468.642,-468.113,-468.070,-469.325,-470.053,-468.376,-468.780,-467.732,0.188,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.602,PASS,1225.970,2.419,1908.691,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
91, 1,183,1, 1,1,-390.624,-460.624,-460.135,-461.156,-461.166,-461.249,-461.243,-462.504,-464.260,-462.943,-462.984,-461.950,0.275,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.655,PASS,1229.774,2.458,1920.628,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
92, 0,185,0, 1,1,-386.750,-455.896,-458.508,-457.560,-454.369,-455.099,-455.860,-458.559,-458.399,-454.649,-457.010,-457.157,0.332,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.760,PASS,1237.360,2.462,1911.231,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
92, 1,185,1, 1,1,-403.966,-478.935,-477.889,-479.074,-478.893,-479.137,-478.914,-480.585,-480.637,-481.143,-480.427,-476.953,0.072,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.526,PASS,1226.554,2.442,1927.223,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
93, 0,187,0, 1,1,-389.815,-463.833,-464.934,-462.127,-463.408,-462.883,-463.190,-462.864,-464.710,-465.395,-465.112,-464.978,0.192,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.712,PASS,1226.672,2.477,1945.266,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
93, 1,187,1, 1,1,-391.569,-460.653,-461.186,-463.430,-462.427,-462.409,-463.612,-465.366,-465.208,-464.275,-463.161,-462.804,0.321,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.660,PASS,1234.172,2.478,1925.893,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
94, 0,189,0, 1,1,-388.168,-455.629,-456.433,-457.050,-456.190,-456.016,-457.741,-456.977,-458.385,-457.077,-459.318,-456.995,0.143,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.763,PASS,1226.759,2.455,1912.953,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
94, 1,189,1, 1,1,-406.192,-481.302,-480.091,-480.303,-482.164,-481.352,-479.768,-483.704,-483.497,-483.615,-482.708,-481.831,-0.086,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.568,PASS,1234.473,2.476,1932.410,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
95, 0,191,0, 1,1,-391.644,-461.911,-463.431,-463.579,-463.417,-462.931,-465.172,-463.705,-465.458,-464.369,-465.527,-464.702,0.316,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.617,PASS,1231.283,2.483,1912.653,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
95, 1,191,1, 1,1,-387.200,-457.742,-457.189,-459.430,-457.648,-459.821,-458.621,-457.971,-460.150,-460.604,-458.305,-456.496,0.202,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.628,PASS,1235.012,2.484,1916.595,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
96, 0,193,0, 1,1,-386.153,-456.087,-457.912,-455.355,-455.060,-456.364,-457.359,-455.754,-457.069,-456.962,-456.824,-456.159,0.349,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.648,PASS,1231.972,2.490,1912.428,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
96, 1,193,1, 1,1,-405.174,-478.764,-478.171,-479.641,-480.159,-478.793,-477.918,-480.885,-482.634,-479.587,-479.895,-478.694,0.172,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.587,PASS,1233.909,2.450,1925.437,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
97, 0,195,0, 1,1,-394.313,-464.501,-465.597,-465.232,-465.753,-465.710,-468.113,-466.840,-468.856,-466.759,-467.197,-466.501,-0.019,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.703,PASS,1229.002,2.448,1909.923,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
97, 1,195,1, 1,1,-389.664,-459.627,-459.180,-462.186,-461.816,-462.605,-462.129,-462.071,-461.532,-463.096,-462.907,-460.935,0.359,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.580,PASS,1234.674,2.470,1940.820,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
98, 0,197,0, 1,1,-386.387,-457.404,-458.513,-457.374,-456.467,-455.801,-457.101,-457.446,-459.743,-458.441,-457.682,-457.940,0.088,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.662,PASS,1234.177,2.436,1935.167,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
98, 1,197,1, 1,1,-402.242,-478.382,-477.145,-476.342,-478.440,-476.658,-476.574,-480.175,-479.845,-479.066,-477.277,-477.020,0.044,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.588,PASS,1231.792,2.461,1921.611,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
99, 0,199,0, 1,1,-394.341,-463.623,-464.953,-466.374,-466.401,-465.882,-467.559,-467.064,-469.180,-466.544,-468.046,-465.527,0.083,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.612,PASS,1234.829,2.467,1910.035,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
99, 1,199,1, 1,1,-389.879,-461.784,-461.400,-462.271,-463.601,-461.244,-460.728,-462.804,-464.817,-463.143,-463.324,-460.610,0.211,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.586,PASS,1231.516,2.458,1952.383,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
100, 0,201,0, 1,1,-387.404,-456.588,-457.716,-457.126,-457.744,-457.157,-458.338,-458.908,-458.809,-457.106,-458.674,-456.961,0.305,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.612,PASS,1229.992,2.489,1912.054,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
100, 1,201,1, 1,1,-404.186,-480.854,-479.823,-479.369,-480.579,-480.550,-478.628,-479.928,-482.172,-480.126,-481.007,-478.813,0.133,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.679,PASS,1230.000,2.442,1921.422,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
101, 0,203,0, 1,1,-391.863,-462.798,-464.028,-463.389,-462.578,-461.427,-464.498,-463.505,-464.133,-462.605,-461.936,-464.139,0.237,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.745,PASS,1237.323,2.479,1913.628,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
101, 1,203,1, 1,1,-389.053,-459.942,-459.958,-459.154,-459.089,-459.621,-459.512,-460.324,-460.889,-462.246,-461.776,-458.313,0.126,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.685,PASS,1230.877,2.437,1933.481,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
102, 0,205,0, 1,1,-385.298,-455.491,-456.786,-455.379,-454.593,-455.323,-456.786,-456.667,-456.226,-457.482,-457.768,-456.503,-0.100,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.847,PASS,1224.679,2.455,1911.867,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
102, 1,205,1, 1,1,-399.831,-477.112,-476.333,-474.083,-474.491,-473.640,-473.394,-475.171,-476.613,-476.059,-476.189,-473.578,0.210,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.626,PASS,1230.802,2.430,1902.963,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
103, 0,207,0, 1,1,-391.959,-464.081,-465.406,-464.836,-465.338,-465.553,-465.998,-465.354,-466.297,-466.649,-466.634,-466.434,0.199,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.636,PASS,1229.817,2.483,1933.175,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
103, 1,207,1, 1,1,-386.517,-458.605,-458.597,-458.849,-460.059,-458.475,-459.302,-458.462,-459.525,-459.874,-458.190,-456.563,0.311,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.683,PASS,1230.464,2.454,1923.882,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
104, 0,209,0, 1,1,-393.238,-460.490,-460.278,-463.989,-462.211,-462.759,-464.436,-463.858,-464.714,-462.776,-464.922,-464.539,0.340,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.643,PASS,1231.082,2.444,1919.005,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
104, 1,209,1, 1,1,-404.291,-479.102,-478.147,-479.469,-478.989,-479.218,-477.508,-479.932,-480.308,-480.985,-480.805,-477.916,0.131,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.616,PASS,1234.185,2.456,1919.722,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
105, 0,211,0, 1,1,-394.948,-465.374,-466.723,-467.832,-465.396,-467.415,-468.089,-468.522,-469.056,-468.528,-468.813,-466.902,0.398,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.617,PASS,1231.634,2.466,1895.428,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
105, 1,211,1, 1,1,-388.360,-459.326,-458.497,-458.844,-459.891,-458.212,-458.635,-460.033,-461.680,-460.470,-458.617,-457.683,0.164,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.620,PASS,1231.616,2.485,1901.111,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
106, 0,213,0, 1,1,-387.394,-457.098,-458.207,-457.755,-458.040,-459.177,-460.850,-457.981,-457.999,-458.708,-459.351,-459.796,0.101,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.628,PASS,1228.000,2.488,1914.866,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
106, 1,213,1, 1,1,-399.516,-475.805,-474.618,-475.151,-476.139,-475.956,-473.795,-476.818,-487.235,-476.661,-475.911,-474.412,0.240,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.537,PASS,1230.038,2.429,1939.702,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
107, 0,215,0, 1,1,-392.217,-463.814,-466.079,-467.070,-467.260,-465.954,-466.905,-466.634,-467.283,-465.700,-466.834,-465.289,0.211,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.603,PASS,1227.085,2.491,1934.630,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
107, 1,215,1, 1,1,-387.744,-459.111,-458.583,-458.015,-459.987,-459.926,-457.582,-459.666,-461.594,-459.397,-460.328,-457.955,0.237,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.658,PASS,1236.428,2.485,1919.081,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
108, 0,217,0, 1,1,-390.870,-458.544,-459.433,-462.217,-461.105,-461.708,-461.366,-462.429,-463.971,-461.746,-462.318,-461.180,0.521,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.642,PASS,1226.621,2.469,1931.531,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
108, 1,217,1, 1,1,-401.459,-477.189,-475.693,-476.409,-476.740,-475.598,-476.111,-477.694,-481.228,-476.608,-478.615,-476.443,0.090,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.592,PASS,1231.641,2.456,1936.740,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
109, 0,219,0, 1,1,-390.646,-462.064,-463.560,-463.798,-463.479,-462.430,-464.532,-463.156,-463.146,-462.428,-463.291,-463.399,0.103,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.673,PASS,1234.027,2.467,1921.384,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
109, 1,219,1, 1,1,-393.097,-462.342,-461.687,-465.784,-465.458,-464.429,-464.890,-465.623,-467.649,-466.995,-465.064,-462.947,0.094,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.577,PASS,1233.847,2.486,1926.691,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
110, 0,221,0, 1,1,-387.476,-456.598,-457.907,-456.902,-457.144,-457.148,-458.362,-458.755,-459.448,-457.449,-458.822,-458.474,0.269,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.678,PASS,1232.548,2.489,1929.622,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
110, 1,221,1, 1,1,-398.828,-476.711,-476.046,-472.696,-475.570,-475.016,-473.961,-474.456,-489.471,-475.191,-477.196,-474.045,0.207,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.583,PASS,1231.278,2.453,1906.157,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
111, 0,223,0, 1,1,-395.769,-465.445,-467.639,-468.465,-467.326,-467.406,-469.918,-468.254,-469.361,-468.223,-467.931,-467.875,0.266,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.618,PASS,1231.458,2.475,1914.040,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
111, 1,223,1, 1,1,-390.127,-459.574,-459.146,-460.760,-461.204,-462.204,-460.118,-463.104,-463.406,-463.019,-462.629,-459.857,0.314,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.642,PASS,1233.508,2.457,1949.693,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
112, 0,225,0, 1,1,-391.882,-458.787,-460.535,-461.784,-460.976,-462.850,-463.892,-463.772,-462.860,-463.435,-464.264,-464.458,0.548,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.667,PASS,1236.922,2.471,1915.242,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
112, 1,225,1, 1,1,-397.123,-476.249,-475.158,-473.153,-473.064,-474.042,-474.228,-473.756,-476.937,-476.661,-476.367,-475.147,0.173,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.561,PASS,1225.101,2.422,1927.489,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
113, 0,227,0, 1,1,-389.042,-462.698,-463.384,-461.993,-459.971,-461.040,-462.626,-462.014,-462.522,-463.511,-461.879,-459.934,0.341,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.662,PASS,1231.571,2.476,1903.482,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
113, 1,227,1, 1,1,-389.926,-460.882,-460.460,-461.380,-463.525,-461.163,-462.106,-462.514,-465.304,-463.721,-463.199,-460.773,0.170,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.589,PASS,1233.170,2.483,1928.708,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
114, 0,229,0, 1,1,-386.549,-454.737,-455.235,-456.279,-457.029,-455.147,-457.932,-456.213,-457.303,-457.754,-457.577,-457.219,0.319,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.652,PASS,1232.398,2.509,1919.986,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
114, 1,229,1, 1,1,-398.207,-470.589,-469.160,-471.213,-469.932,-470.412,-470.753,-471.285,-472.789,-472.651,-472.307,-470.350,0.306,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.616,PASS,1230.464,2.444,1902.963,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
115, 0,231,0, 1,1,-394.370,-465.402,-465.774,-467.198,-467.112,-468.413,-468.767,-468.880,-469.285,-468.357,-468.289,-466.276,0.060,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.628,PASS,1231.809,2.460,1905.637,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
115, 1,231,1, 1,1,-389.287,-458.252,-457.991,-460.770,-460.522,-460.738,-459.379,-459.462,-460.808,-462.179,-461.867,-458.398,0.309,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.654,PASS,1229.148,2.461,1917.159,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
116, 0,233,0, 1,1,-397.631,-467.353,-468.512,-468.975,-469.767,-468.891,-468.018,-468.421,-470.605,-469.196,-470.301,-470.390,0.317,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.669,PASS,1230.180,2.484,1913.665,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
116, 1,233,1, 1,1,-398.818,-475.561,-475.086,-473.149,-474.654,-474.175,-474.190,-473.166,-475.898,-475.553,-476.199,-473.259,-0.008,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.520,PASS,1231.228,2.462,1933.443,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
117, 0,235,0, 1,1,-387.595,-460.771,-462.530,-460.131,-460.333,-461.135,-461.963,-460.279,-462.083,-461.393,-461.197,-460.664,0.347,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.616,PASS,1228.539,2.460,1934.170,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
117, 1,235,1, 1,1,-391.445,-460.080,-459.977,-463.182,-463.023,-463.102,-462.864,-462.728,-462.681,-462.733,-461.968,-461.669,0.204,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.580,PASS,1233.107,2.455,1920.364,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
